AP Name,WLC,WLCSoftware Type,WLC Software Version,Channel changes due to radar,Filtered events on serving radio,Filtered events on Cisco Integrated RF ASIC,Triggered radar events,DFS statistics last updated
TBMNC-BLD802-FL01-7C-AP0399,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174415 seconds ago
TBMNC-BLD801-FL01-AP0282,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175284 seconds ago
TBMNC-BLD802-FL01-6A-AP0389,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174597 seconds ago
TBMNC-BLD802-FL01-AP0542,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174509 seconds ago
TBMNC-BLD802-FL01-9D-AP0417,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174291 seconds ago
TBMNC-BLD802-FL01-AP0550,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,2,0,0,0,1174406 seconds ago
TBMNC-BLD802-FL01-6B-AP0390,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174543 seconds ago
TBMNC-BLD801-FL01-AP0197,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175023 seconds ago
TBMNC-BLD801-FL01-16C-AP0108,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175026 seconds ago
TBMNC-BLD801-FL01-AP0261,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174942 seconds ago
TBMNC-BLD801-FL01-4B-AP0014,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174821 seconds ago
TBMNC-BLD801-FL01-AP0234,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175063 seconds ago
TBMNC-BLD801-FL01-AP0178,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1175306 seconds ago
TBMNC-BLD801-FL01-5E-AP0025,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1175096 seconds ago
TBMNC-BLD801-FL02-AP0321,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,110161 seconds ago
TBMNC-BLD801-FL01-4E-AP0017,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175233 seconds ago
TBMNC-BLD802-FL01-AP0536,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174592 seconds ago
TBMNC-BLD801-FL01-5H-AP0028,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,2,0,0,0,1174903 seconds ago
TBMNC-BLD801-FL01-AP0264,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174985 seconds ago
TBMNC-BLD802-FL01-AP0531,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1174416 seconds ago
TBMNC-BLD801-FL01-5G-AP0027,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1175241 seconds ago
